                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0015,                 1.7713,                 1.4054,                0.73736,                0.71443,                0.79422,                0.50722,                 1.1741,                 1.5076,                 1.8103,             0.00055289,             0.00055289,             0.00055289
                      2,                 1.1893,                 1.5645,                 1.5329,                0.61931,                0.56769,                0.61494,                0.36958,                 1.3619,                 1.6498,                 1.9866,              0.0011064,              0.0011064,              0.0011064
                      3,                 1.3029,                 1.6362,                 1.5909,                0.50073,                0.60379,                0.62427,                0.32772,                 1.7015,                 1.9981,                 2.4075,              0.0016576,              0.0016576,              0.0016576
                      4,                  1.405,                 1.6844,                 1.6807,                0.63531,                0.62891,                0.69672,                0.34561,                 1.5664,                 1.8146,                  2.173,              0.0016571,              0.0016571,              0.0016571
                      5,                 1.3437,                 1.6101,                 1.6557,                0.66328,                0.68593,                0.67454,                 0.3666,                 1.4095,                 1.5243,                 1.9407,              0.0016571,              0.0016571,              0.0016571
                      6,                 1.2871,                 1.4737,                 1.5784,                0.83017,                0.60089,                  0.777,                0.43896,                 1.3824,                 1.6402,                 1.9118,              0.0016538,              0.0016538,              0.0016538
                      7,                 1.2696,                  1.391,                 1.5527,                0.75628,                0.75816,                0.78554,                0.47109,                 1.3768,                 1.2459,                 1.8979,              0.0016505,              0.0016505,              0.0016505
                      8,                 1.2295,                 1.3791,                 1.5252,                0.76375,                0.76027,                0.81253,                0.50398,                 1.2195,                 1.1825,                 1.7114,              0.0016472,              0.0016472,              0.0016472
                      9,                 1.2416,                 1.3811,                 1.5276,                0.70598,                0.60207,                0.65973,                0.37722,                 1.5032,                 1.5635,                 2.0687,              0.0016439,              0.0016439,              0.0016439
                     10,                  1.172,                 1.3744,                 1.5096,                0.79457,                0.73184,                  0.837,                0.55285,                 1.1752,                 1.1034,                 1.7576,              0.0016406,              0.0016406,              0.0016406
                     11,                 1.1295,                  1.263,                 1.4576,                0.84169,                0.72267,                0.82098,                0.54765,                 1.1342,                 1.1223,                 1.6494,              0.0016373,              0.0016373,              0.0016373
                     12,                 1.1191,                 1.2173,                 1.4545,                0.71123,                0.73716,                0.71234,                0.47046,                 1.1836,                 1.3057,                 1.6861,               0.001634,               0.001634,               0.001634
                     13,                 1.0865,                 1.2167,                 1.4433,                0.81745,                0.79774,                0.83615,                0.56799,                 1.0989,                 1.0461,                 1.6274,              0.0016307,              0.0016307,              0.0016307
                     14,                 1.0494,                 1.1834,                 1.4173,                  0.832,                 0.7832,                0.86561,                0.57189,                 1.1053,                 1.0249,                 1.5962,              0.0016274,              0.0016274,              0.0016274
                     15,                 1.0257,                 1.1603,                 1.3996,                 0.7787,                0.82389,                 0.8755,                0.61743,                 1.0372,                 1.0263,                 1.5534,              0.0016241,              0.0016241,              0.0016241
                     16,                 1.0034,                 1.0587,                 1.3825,                0.78933,                0.79322,                 0.8234,                0.56014,                 1.1805,                0.99493,                 1.7616,              0.0016208,              0.0016208,              0.0016208
                     17,                  1.042,                 1.0803,                 1.3966,                0.83181,                0.82235,                0.87129,                0.56718,                  1.178,                0.98929,                 1.6696,              0.0016175,              0.0016175,              0.0016175
