                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93931,                 2.1118,                 1.3537,                0.67109,                0.67148,                0.71795,                0.43574,                 1.0998,                 2.3316,                 1.6173,             0.00055289,             0.00055289,             0.00055289
                      2,                 1.0845,                 1.8603,                 1.4458,                0.65628,                0.67071,                0.73374,                0.44122,                 1.2379,                  2.021,                 1.7877,              0.0010976,              0.0010976,              0.0010976
                      3,                 1.1685,                 1.8591,                 1.5208,                0.61319,                0.59367,                0.64366,                0.34954,                  1.305,                 2.1038,                 1.8613,              0.0016313,              0.0016313,              0.0016313
                      4,                 1.2103,                 1.8304,                 1.5507,                0.72855,                0.67666,                0.78535,                0.46285,                   1.27,                 1.8986,                  1.867,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.1887,                 1.6583,                 1.5214,                0.78943,                0.73733,                0.83442,                 0.4762,                 1.2402,                  1.763,                 1.7577,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.1805,                 1.6056,                 1.5096,                 0.7224,                 0.6482,                0.70207,                0.43164,                 1.2768,                 1.7927,                 1.8579,               0.001601,               0.001601,               0.001601
                      7,                 1.1615,                 1.4971,                 1.4903,                0.78615,                0.74773,                0.83886,                0.50999,                 1.2427,                 1.4133,                 1.7784,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.1393,                 1.4452,                 1.4835,                0.77053,                0.79439,                0.87444,                0.56347,                 1.1627,                 1.2769,                 1.6375,               0.001568,               0.001568,               0.001568
                      9,                 1.0713,                 1.3935,                 1.4373,                0.80481,                0.81361,                0.87804,                0.59607,                 1.0823,                 1.2175,                 1.5992,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.0433,                 1.3361,                 1.4325,                0.76847,                0.78484,                0.83021,                0.55012,                 1.1525,                 1.2042,                 1.6415,               0.001535,               0.001535,               0.001535
                     11,                 1.0245,                 1.1992,                 1.3925,                0.84327,                0.73978,                0.87828,                0.59914,                 1.0595,                 1.1409,                 1.5309,              0.0015185,              0.0015185,              0.0015185
                     12,                0.99571,                 1.2158,                 1.3586,                 0.8255,                0.71213,                0.81711,                0.56624,                 1.1079,                 1.2582,                  1.654,               0.001502,               0.001502,               0.001502
                     13,                0.98767,                 1.1178,                 1.3787,                0.82361,                0.84669,                0.86667,                0.60852,                 1.0358,                 1.0682,                 1.5603,              0.0014855,              0.0014855,              0.0014855
                     14,                0.97273,                 1.1378,                 1.3649,                0.89777,                0.85558,                0.93066,                0.65047,                0.98579,                0.96042,                 1.5009,               0.001469,               0.001469,               0.001469
                     15,                0.96606,                 1.1256,                 1.3513,                 0.9119,                0.84327,                0.93132,                0.68191,                 0.9177,                0.86895,                 1.4201,              0.0014525,              0.0014525,              0.0014525
                     16,                0.91286,                 1.0722,                 1.3049,                 0.8596,                0.77363,                0.88447,                0.65251,                0.94642,                 1.0278,                 1.4622,               0.001436,               0.001436,               0.001436
                     17,                0.93724,                 1.1058,                 1.3386,                0.85507,                0.88096,                0.91826,                0.64855,                0.96731,                0.91666,                 1.4865,              0.0014195,              0.0014195,              0.0014195
                     18,                0.89789,                   1.02,                 1.2976,                0.90182,                0.85244,                0.93005,                0.67862,                0.94213,                0.82026,                 1.4515,              0.0014029,              0.0014029,              0.0014029
                     19,                0.92895,                 1.0146,                 1.3216,                0.87996,                0.81488,                0.88718,                0.66349,                0.89584,                0.94675,                 1.4065,              0.0013864,              0.0013864,              0.0013864
                     20,                0.85167,                0.95833,                 1.2685,                0.93708,                0.85227,                0.93888,                0.71961,                0.82826,                0.78279,                 1.3582,              0.0013699,              0.0013699,              0.0013699
                     21,                0.87062,                0.97098,                 1.2772,                0.88569,                0.90539,                0.94724,                0.71428,                0.86251,                0.77814,                 1.3776,              0.0013534,              0.0013534,              0.0013534
                     22,                 0.8549,                 0.9607,                 1.2747,                0.91507,                0.88005,                0.93897,                0.72781,                0.81731,                0.73633,                 1.3363,              0.0013369,              0.0013369,              0.0013369
                     23,                0.85602,                0.93099,                 1.2592,                0.86443,                0.85189,                0.91949,                0.72186,                0.78854,                0.82488,                 1.3607,              0.0013204,              0.0013204,              0.0013204
                     24,                0.84277,                0.91876,                 1.2619,                0.91387,                0.84318,                 0.9425,                0.74657,                0.77956,                0.72404,                  1.292,              0.0013039,              0.0013039,              0.0013039
                     25,                 0.8246,                0.93029,                 1.2399,                0.86461,                0.87338,                0.93362,                0.70473,                0.85236,                0.78084,                  1.377,              0.0012874,              0.0012874,              0.0012874
                     26,                0.81232,                0.87806,                 1.2384,                0.86125,                0.90316,                0.93285,                0.71334,                0.87966,                0.75882,                 1.4115,              0.0012709,              0.0012709,              0.0012709
